id,"name","district_id",type
590,"लेकवेशी नगरपालिका","61",1
591,"चौकुने गाउँपालिका","61",0
592,"बराहताल गाउँपालिका","61",0
593,"चिङ्गाड गाउँपालिका","61",0
594,"सिम्ता गाउँपालिका","61",0
595,"नारायण नगरपालिका","62",1
596,"दुल्लु नगरपालिका","62",1
597,"चामुण्डा विन्द्रासैनी नगरपालिका","62",1
598,"आठबीस नगरपालिका","62",1
599,"भगवतीमाई गाउँपालिका","62",0
600,"गुराँस गाउँपालिका","62",0
601,"डुंगेश्वर गाउँपालिका","62",0
602,"नौमुले गाउँपालिका","62",0
603,"महावु गाउँपालिका","62",0
604,"भैरवी गाउँपालिका","62",0
605,"ठाँटीकाँध गाउँपालिका","62",0
606,"भेरी नगरपालिका","63",1
607,"छेडागाड नगरपालिका","63",1
608,"त्रिवेणी नलगाड नगरपालिका","63",1
609,"बारेकोट गाउँपालिका","63",0
